Wallet Address,Purchase Count
0xb2f096c96b1FEc3a76F3aff2ea7a3FEf9875CF64,2
0xCE58Ea3B5Ae7056577c4e9efCdebFa7aCAe52026,1
0x4e9e18cC8b5784951345e596B9729A82D7a6443e,1
0xc60F9Ef1762F8cf227d4FeD3C9f6E254414ac645,1
0xAD2C8DF1E02Bb9f00ce7536e6f4e0A2CAE29746D,8
0x39a9571003df845b330A4EDF6ac691dd1880288A,13
0x86cb21305c8e6a9848A4b8088170fB911E316ca8,15
0x5026fABfA2EC9527BE0ec289AE5f623932e6a00E,4
0x350A68082a115e2e39312A89A65cbdfb14605aAD,2
0xB55697F55Bd0485A4B4d92B89CD67ba4c11c4547,4
0x02Ce5A9F39b971Cc6A5F1CF60e9a22B600ed6CC3,1
0x93f255F571D0aACF8Ff3897D7e523f1e4c8D09A5,1
0x1e90d4fBAF393fF95698447a5BFDd655f096B804,4
0x561D4561ae0c45505a6f6B1A58EEE27D7B94cB62,1
0x7b61b330010d2606D1e61651ddc891c672FeA580,2
0x1Bcf16d2F5efB8333c86118f874F16378B090bE0,3
0x7F56C20518428E38a8630eE2170d982285034396,1
0x8DAb222EB686a4f0708e892D09fb3558249c916e,10
0x6500A7C0321959b3B751699B5ECDE83d0D7c0F3C,10
0xbFE05678EAC386D9B2136692dB9bb3656A76F52e,4
0xBAC3a5F847F2d720259397997Dae4370c36BaA54,1
0xcA94C3b70c5e28851AE8bcD23DbEcCb610EBF165,5
0x5d54541F7f6CDa9b45Aa1D3fC8cFd366459598Ad,1
0x462359bC7E4d1F3A833d1fcC1Eb7AbcfEfF26251,2
0xA8D344A5B87f0d2565b772CD679135aa0E893aED,1
0x4e557d0cF21DcaD04387400d49266BBaeebAe674,1
0x1b34bc6e87D79cE7D08d7d6b4f923edE6BD53fD0,2
0xe5C7B4166d5cFaa9cAE93048cf683F870Ad4faEb,1
0x2a988cf3C22AfC623D818E9d36673fAA49d73980,1
0xB33C0668F2796ad377Ba7133D327849a4c1e8E12,4
0xebeB14484c11d296Bb1f3c7599E8b328d5308774,2
0x821b10564A78C2e891aA3b41BF9FBca52db0224C,1
0x2EB0e1623a204b693Da536Db061926b49c70cEa2,1
0x083A112e5363f1ccf830e2640B8a273C69eCa53A,1
0x92e5D0AE466c9Bd0bEbe336e104DcF54977780a8,8
0xfE3Cf487565A3Cd275cb2cbf96a395F023637D86,1
0x24D16Bf751280FC373b07232eDcf0f964BDEE1e3,1
0xacE6715eAFDdD49079DD081d672c7bE5c1D06de3,32
0xE4887Fc7C9F27fFB34AD61374D38C0746c01D474,2
0xB24e74fBdFCbB36ADE48915756B2E5bcc2846Bda,2
0x062ABE353546fD150645EA4BeeFA885205c4147B,1
0x7ca09417Ad96e7A3a2Bc5F3bDA99D39049Ef40DA,1
0x61083A64384053AD2178Ef5c9Ff4045b6857DfD7,17
0xeEC0d157427E7CcA36aeD61F4Bd93a08ec326De2,1
0xe36Ea8089238939D153609d7907EADC7fD7D7F45,1
0x80D437ca797995e8A1D429828C47020fc6d1A822,1
0x46F7ABFacef08d291a82088237CB08ff38ebBAbD,4
0x530eE9aC7Caaa5d50b3546e5a7A6171ef43C1650,4
0x6017DE286A669f4E839BE894c1aa1B978C49e6a4,1
0xdbB7A69C46bC90A54C944065c4247c642a1C5595,1
0xf645F70e7c8aF1176Dfff60D050c49B046629318,9
0x28561284cef81cDD7BBD39Ba8d9F7b640Fe64a03,10
0x0eeb9E2A5b64F5C621f52045458077bDcd2c3ADC,2
0x9e7D174dEF456Ee4Df9DE98BF74aCB1A9c0f5e36,6
0xfeAf8Dc2D5a528c6DAfE79a7Abe1E3D1745acfEF,4
0x36Ec315DAf53F35233b0f36d652389251E58f524,1
0x33EF8Daf588E1e1071a832ad0E4F7774fC01A5cF,8
0xb898aE2C6951D0CB3C2C3e7Ab96A8F72b6863733,1
0x197959482791F4A5B7b5D452A62A2a4ABcFCeB10,5
0x0577197D9E95647950d72988078Ca3fd762b6262,4
0xA084488dea0e4FCe377f91c25254E94e0Fbed3B7,1
0x124Af04018F4ED96c9f140B8107F613ef60c23cc,4
0x7ef07B541eE64B1658f142A79C6BB9f896B9be67,1
0xa7eEc017502ff0C7a256B709aef4AE3a8624A995,2
0x851501ED9aBBB210a976559a660b86D735018da3,5
0xB52cCd17A718217A3aC393F83046AC7a6834d244,2
0xdBdEceaA39950a1DA90bE21f546aeE4eafB1ef70,1
0xdF2884f38c380060B138C599Da23133BEbB7fF3D,4
0x864336b6eD3d55CAFd2247CDC5CAa6c97984ceC3,10
0x0281266599D587c92bdA1d69ef704D675863eCd8,1
0x7B93d2E8167da1B32f9B3ab591f88e510FFc3400,2
0xCDCc4fd342A42aBd8C1bF7a892Df77aBfb932bd1,1
0x87414C078E1923BCFE6de23f29F9ff81078d065C,1
0x886f6c54EFE9Bf333ff12EAF271bB3377cf7b576,5
0x9F26d9502A122943D57A217F23eC8b3Ada0c7e47,1
0x97c045A852037f2Aa29E47781E52a9F676a9cC51,2
0x3eF0467FE4A705C178a49a0dFbAc044a1883cdaB,2
0xd41C203dcC4d8c917f6B11E1F05eBc188122BB0E,3
0x200f92426b834f0b93b6C6d4383A1Ed6b66b3C47,1
0xbACbbCc8f31334205880Bc844688bB40059A7341,10
0x48611f8Bc30690575f318B69B7756a363b363252,3
0xd604783Efc924Ee96E9296fa6A5E4Bd78B880a4f,3
0x03192E7191bFFd65b2a158FcD91389EE73b01F19,11
0x8D3a12e05950600d914fD6A0aF3575Cfa6A0Af1C,2
0x9B325CabD77EA9643E3a1dBBFC13dE811064706B,60
0x2cD0F7aDFc820f07b91d75cDe95b228ddE030a07,1
0x3C94426b64795276e3E93Ee677F35D75C66dF317,1
0x03bA272d947E06B92a8ED168A1727cc3a21efA0C,1
0x7BBD259f87BBC9ce1f16B50D0967150B470ce13C,1
0x8891eC6518A047f1c6eCD2F06796becea34ab972,1
0xCCD7F7D9392B28fe6500953feBBb0fb81c26fb29,1
0x1cF8404002D8a489123D0c2a4EEB42CD85280b23,3
0xd15790cbb987E4E6B2cc9f8376e4186ddD885f73,10
0x0531903EE7D0617d0B23a0ffe39B8fd1ECf08286,2
0xb3386930A79DA32E63B54FeF789D900e199bd717,5
0x37C19CD2271951096Dfa709a75018960690Ed165,5
0xF78caC0E183525D57F76C9142Ca19B3E6B045488,2
0xf6Cf703CD60C0e3B81318ED76B5edB34DF04b06f,1
0xd04923A03428504ae679b3578c2616e58bBf1ED9,1
0x7FBB5BF641920b4e32F0a10DbE3478F8aD9B35F2,2
0xD624fc6f392fAb0138d62589f163Df4891F0C3b8,2
0x620cacE9E7744dAD60B14838BA2F5d1bAD85af43,5
0x0B8a100860feff5005347155B11eCe032d9834Cc,10
0xbB03188AC4C308a72b5035De601D07429a0eB6B4,1
0x3200506C36a6B419218D90F4352A296152305811,1
0x4f54e9E71a8efAF4c6D2CeB25551f00ffeEBd4A1,2
0x0ED1F08F57F9aE28A98d16c66154D11073C55441,2
0xdd0cadCF41D9eafA8A6958A4Bdc99A3C8A4A2Db5,1
0x08149E76a4CEAB43A07438cab73abA5064B2B001,1
0xd4C4a4b11f80dC75EE534C0DA478cfe388b5bAaD,2
0x5121b90f4e7c8F76383F6D3aE30f11BB737fa573,1
0x7F4caeD4e637832a08F3009467A688526fdf7ab1,4
0xE76D0ef2109166EcaeA361a3123B2250086453A9,1
0xB7eE5085371b55072F573e337c44E65F20ba5879,1
0x2Ec1daB2186Ded91C988e569ff4618dA5AF588D7,1
0x05810944AA9217E6817229d6436d3d7ee43eF47a,20
0xE93F5bbA4707550bf258170e484A5B4EEa2B9F4F,6
0xD1A9f10A451193396D22025edE412a522ac192a2,1
0x18E480231D01Be4981c774c844199bD58C10Dd01,1
0x4cc56f2f5648F0274300E127586226C22B9f0091,1
